FONTES,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gas natural,0,0,0,0,0,0,0,44.862048,43.9824,44.862048,45.741696,21.9912,21.9912,21.9912,10.555776,6.157536,18.472608,21.111552,23.8224672,32.6429376,39.3652476,39.4782024,35.18592,5.277888,5.277888,23.750496,27.269088,32.546976,46.621344,51.019584,49.260288,23.750496,28.16,14.08,20.24,16.7877458,17.6,24.4332,25.4065453,25.52,22.51634361,42.24,55.44,30.8,25.036,11.64891322,4.82739368,4.008399663,3.771817342,3.989936331
Carvao mineral,0,0,0,0,0,0,4.79808,40.78368,52.089156,136.615332,252.164094,520.771608,926.309328,924.694974,856.027452,1002.42387,1165.663548,1047.365886,921.901092,637.604856,583.381554,806.792154,411.945156,334.086312,350.70966,371.696262,413.354592,427.908768,252.838824,144.512172,143.34264,140.84364,105.722502,169.954563,31.952919,45.41909892,59.492645,51.38908019,53.27806118,50.77274964,52.14949163,97.74634163,107.6436897,133.2540779,122.5858647,70.40436724,60.363925,63.63890718,64.0531928,66.19465901
Lenha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.366652,7.7469,7.437024,12.085164,9.916032,3.408636,2.169132,0,1.239504,0.929628,0.929628,1.54938,4.028388,0.619752,8.366652,13.324668,22.001196,9.29628,0.31,0.31,0.31,0,0,0,0,0,0,37.2,81.386625,83.1606,79.00257,69.564,63.8848,60.40920207,57.09910881,58.64232797
Oleo diesel,23.14768954,23.14768954,23.14768954,24.00501138,24.00501138,25.71965505,30.00626422,29.14894239,25.71965505,26.57697688,28.28034,26.72480884,26.82025459,19.84881141,19.16642194,19.08550233,20.13007404,22.701276,22.62234938,13.12506,10.500048,10.4482435,10.4482435,13.06030437,16.5430522,15.67236525,15.67236525,20.02580004,21.5520892,25.7049,23.82576,22.9068,24.592,26.288,30.528,34.59663002,32.83155904,40.14647992,41.71077857,40.95062523,42.9622318,61.28348768,66.09094572,64.30214204,67.75444477,55.50495212,51.41449671,47.54530012,49.76424599,53.12558318
Biodiesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000578599,0.051114781,0.361539996,1.033789617,1.353661345,2.091912827,3.012445521,3.248760489,3.160830219,3.80364822,3.901900164,3.614348369,3.742549113,4.994591751,5.721239034
Oleo combustivel,1180.034948,1271.160891,1431.321641,1585.959606,1770.052421,1877.746718,2260.191915,2350.411633,2511.115508,2354.170788,2045.322035,1724.320104,1212.644803,475.5985522,148.299926,85.18991,209.8932711,483.35616,495.4656,822.7198097,981.7848642,897.2152769,978.31488,1116.901791,1068.29858,1270.487938,1504.755416,1769.156884,1720.2384,922.558,510.188,229.201,134.26,91.105,22.057,23.3518625,23.016,25.72355805,28.6741,28.6741,8.088882365,20.33757927,16.52173413,16.75590246,14.24908881,8.934750099,4.966584051,4.62857835,4.25426694,6.50280543
Eletricidade,89.2322928,97.141128,112.5289704,135.3098544,150.6976968,169.0943352,173.220684,190.3278384,209.9279952,226.089528,276.8951976,264.9459792,259.8740088,209.9279952,199.440192,211.045548,258.326628,240.5317488,239.5861272,242.3370264,252.5669328,265.1179104,245.00196,254.8020384,262.19508,280.5917184,314.2902336,370.6836672,382.117092,382.4609544,397.8587688,392.8491226,376.9507796,340.13602,346.138476,376.7181957,402.6318975,449.629844,497.4990109,500.2000781,553.4513102,613.61516,660.4940765,672.7661775,680.811257,611.316551,547.7842177,516.2364355,506.2863001,522.9081141
Carvao vegetal,0,0,0,0,0,0,0,0,0,0,105.9016224,171.121524,287.355012,410.045916,585.6876312,727.1050416,674.799972,513.364572,492.7008408,409.4001744,349.9919472,249.9019992,205.3458288,227.9467848,258.9423816,282.8348208,364.844004,240.8616168,203.408604,195.6597048,233.1127176,211.1575032,206.72,246.772,284.24,248.764906,261.2031513,222.0226786,248.673824,54.873824,62.99514995,178.032755,142.3656566,127.908,121.5126,109.3032,99.34834,93.9433785,88.79579611,91.1956825
Coque de petroleo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0884,63.57870932,3.49024,3.49024,13.0884,10.47072,0,2.619219812,25.31912485,38.41522391,103.8957192,490.37872,1388.24296,1845.4644,2197.97864,2125.755,1725.921,1696.239,1881.229918,2031.471,2299.861854,2561.382,2726.58,3160.571459,3581.56902,3578.1795,3696.39423,3762.929326,3386.475,3048.219,2834.533251,2679.216361,2751.627614
Lenha,0,0,0,0,0,0.285387774,0.428081661,0.428081661,0.428081661,0.570775548,0.425556589,7.542014188,9.28493359,8.61768267,6.384740425,6.909135132,7.772449188,8.124140074,9.833202872,8.472179121,7.604195622,13.56428451,10.16277913,8.000086799,8.029266962,8.969887151,9.539811325,15.56196229,18.452384,25.34593538,19.56496501,22.92725555,23.75967035,28.78700364,40.68312175,47.94147639,52.28394724,57.5251912,63.08885329,60.8364512,60.89803971,74.29433594,76.59865158,79.81071334,80.05557664,72.54627585,63.68269592,60.02336896,56.9181259,58.55423672
