FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,17,18,24,25,26,23,42,55,31,25,12,5,4,4,4,4
Carvao mineral,45,59,51,53,51,52,98,108,133,123,70,60,64,68,66,65
Lenha,0,0,0,0,0,0,37,81,83,79,70,64,60,61,59,65
Oleo diesel,35,33,40,42,41,43,61,66,64,68,56,51,48,50,53,58
Biodiesel,0,0,0,1,1,2,3,3,3,4,4,4,4,5,6,7
Oleo combustivel,23,23,26,29,29,8,20,17,17,14,9,5,5,4,7,8
Eletricidade,377,403,450,497,500,553,614,660,673,681,612,548,516,506,523,529
Carvao vegetal,249,261,222,249,55,63,178,142,128,122,109,99,94,95,91,101
Coque de petroleo,"1,881","2,031","2,300","2,561","2,727","3,161","3,211","3,249","3,356","3,374","3,077","2,670","2,525","2,491","2,563","2,845"
Residuos,275,300,330,362,349,350,427,440,458,460,417,366,345,350,336,373
