Name,Step,Electricity saving (Mj/t clinker),Fuel saving (Mj/ t clinker),CAPEX ($/t),OPEX ($/t)
Adjustable speed drive,Clinker production,18,60,0.23,0
Blended cement,Cement grinding,0,0,10.5,3
Conversion to reciprocating grate cooler,Clinker production,0,220,10,0
Energy management and process control,Clinker production,9.3,140,0.9,0
Alternative fuels,Fuel related,-3,300 negative *x,5,fuel prices
Improved refractories for clinker making,Clinker production,0,350,0.6,0
Indirect firing for clinker making,Clinker production,0,120,8,0
Kiln combustion system improvements,Clinker production,0,200,1,0
Optimized heat recovery upgraded clinker cooler,Clinker production,0,80,0.2,0
Replacing vertical shifts with suspension preheater,Clinker production,0,0,0,0
