Name,Step,Electricity saving (Mj/t clinker),Fuel saving (Mj/ t clinker),CAPEX ($/t),OPEX ($/t),Penetration_limit
Adjustable speed drive,Clinker production,18,60,0.23,0,0.25
Blended cement,Cement grinding,0,0,10.5,3,0.52
Conversion to reciprocating grate cooler,Clinker production,0,220,10,0,0.5
Energy management and process control,Clinker production,9.3,140,0.9,0,0.5
Fuel switching,Fuel related,-3,300,5,0.5,0.8
Improved refractories for clinker making,Clinker production,0,350,0.6,0,0.5
Indirect firing for clinker making,Clinker production,0,120,8,0,0.5
Kiln combustion system improvements,Clinker production,0,200,1,0,0.5
Optimized heat recovery upgraded clinker cooler,Clinker production,0,80,0.2,0,0.5
Replacing vertical shifts with suspension preheater,Clinker production,0,2400,35,0,0.5
